job_role_id,job_title,job_level,department_id,role_family,salary_band_min_usd,salary_band_max_usd
101,Customer Support Associate,Junior,1,Support,17000.0,26000.0
102,Senior Support Specialist,Senior,1,Support,28000.0,42000.0
103,Support Team Lead,Lead,1,Support,43000.0,62000.0
104,Customer Success Manager,Manager,1,Customer Success,52000.0,78000.0
105,Sales Development Representative,Junior,2,Sales,22000.0,36000.0
106,Senior Account Executive,Mid,2,Sales,38000.0,70000.0
107,Senior Account Executive,Senior,2,Sales,65000.0,105000.0
108,Sales Manager,Manager,2,Sales Management,85000.0,130000.0
109,Junior Software Engineer,Junior,3,Software Engineering,32000.0,52000.0
110,Software Engineer,Mid,3,Software Engineering,52000.0,85000.0
111,Senior Software Engineer,Senior,3,Software Engineering,83000.0,130000.0
112,Engineering Manager,Manager,3,Engineering Leadership,115000.0,165000.0
113,Data Analyst,Junior,4,Analytics,28000.0,48000.0
114,Data Analyst,Mid,4,Analytics,42000.0,68000.0
115,Senior Data Analyst,Senior,4,Analytics,66000.0,98000.0
116,Analytics Manager,Manager,4,Analytics Leadership,85000.0,125000.0
117,HR Coordinator,Junior,5,People Operations,22000.0,34000.0
118,HR Business Partner,Mid,5,People Operations,45000.0,76000.0
119,Talent Acquisition Specialist,Mid,5,Recruiting,36000.0,62000.0
120,Finance Analyst,Junior,6,Finance,28000.0,46000.0
121,Senior Accountant,Senior,6,Accounting,48000.0,76000.0
122,Finance Manager,Manager,6,Finance Leadership,74000.0,115000.0
123,Operations Coordinator,Junior,7,Operations,21000.0,34000.0
124,Operations Analyst,Mid,7,Operations,33000.0,54000.0
125,Operations Manager,Manager,7,Operations Leadership,62000.0,95000.0
126,Marketing Coordinator,Junior,8,Marketing,23000.0,36000.0
127,Digital Marketing Specialist,Mid,8,Marketing,36000.0,62000.0
128,Marketing Manager,Manager,8,Marketing Leadership,68000.0,105000.0
129,IT Support Specialist,Junior,9,It Support,26000.0,42000.0
130,Systems Administrator,Mid,9,Infrastructure,46000.0,72000.0
131,IT Manager,Manager,9,It Leadership,72000.0,112000.0
132,Associate Product Manager,Junior,10,Product Management,42000.0,68000.0
133,Product Manager,Mid,10,Product Management,70000.0,105000.0
134,Senior Product Manager,Senior,10,Product Management,105000.0,150000.0
