exit_id,employee_id,exit_date,exit_type,exit_reason,rehire_eligible,exit_interview_score,comments
400001,100005,2024-08-07,Voluntary,Poor Culture Fit,True,5.0,Employee felt the culture did not match expectations.
400002,100007,2025-02-27,Involuntary,Performance Termination,False,1.0,Employment ended due to sustained performance issues.
400003,100015,2024-03-24,Voluntary,Better Compensation,True,3.0,Employee cited stronger pay package from another employer.
400004,100018,2021-09-10,Voluntary,Better Compensation,True,5.0,Employee cited stronger pay package from another employer.
400005,100019,2025-06-17,Voluntary,Manager Relationship,True,4.0,Employee mentioned lack of manager support and communication.
400006,100020,2026-04-14,Voluntary,Career Growth,True,2.0,Employee reported limited advancement opportunities.
400007,100021,2025-12-27,Voluntary,Relocation,True,1.0,Employee moved to another city or country.
400008,100025,2023-02-10,Voluntary,Manager Relationship,True,4.0,Employee mentioned lack of manager support and communication.
400009,100034,2021-09-19,Voluntary,Personal Reasons,True,3.0,Employee left for personal or family reasons.
400010,100039,2020-04-16,Voluntary,Personal Reasons,True,1.0,Employee left for personal or family reasons.
400011,100043,2019-07-24,Voluntary,Manager Relationship,True,4.0,Employee mentioned lack of manager support and communication.
400012,100054,2024-08-09,Voluntary,Better Compensation,True,2.0,Employee cited stronger pay package from another employer.
400013,100055,2024-01-15,Involuntary,Performance Termination,False,2.0,Employment ended due to sustained performance issues.
400014,100059,2026-03-04,Voluntary,Better Compensation,True,4.0,Employee cited stronger pay package from another employer.
400015,100062,2022-12-18,Voluntary,Poor Culture Fit,True,3.0,Employee felt the culture did not match expectations.
400016,100066,2018-05-15,Voluntary,Career Growth,True,2.0,Employee reported limited advancement opportunities.
400017,100070,2025-09-13,Voluntary,Personal Reasons,True,3.0,Employee left for personal or family reasons.
400018,100072,2024-02-12,Voluntary,Better Compensation,True,1.0,Employee cited stronger pay package from another employer.
400019,100074,2019-10-06,Voluntary,Career Growth,True,5.0,Employee reported limited advancement opportunities.
400020,100083,2019-01-31,Voluntary,Workload,True,1.0,Employee described workload pressure and burnout risk.
400021,100092,2026-03-17,Voluntary,Personal Reasons,True,4.0,Employee left for personal or family reasons.
400022,100094,2023-04-01,Voluntary,Personal Reasons,True,5.0,Employee left for personal or family reasons.
400023,100104,2023-04-23,Voluntary,Better Compensation,True,4.0,Employee cited stronger pay package from another employer.
400024,100107,2026-02-11,Voluntary,Poor Culture Fit,True,3.0,Employee felt the culture did not match expectations.
400025,100110,2023-03-18,Voluntary,Personal Reasons,True,2.0,Employee left for personal or family reasons.
400026,100113,2026-02-06,Voluntary,Better Compensation,True,1.0,Employee cited stronger pay package from another employer.
400027,100117,2026-01-28,Voluntary,Manager Relationship,True,1.0,Employee mentioned lack of manager support and communication.
400028,100118,2025-08-26,Voluntary,Workload,True,,Employee described workload pressure and burnout risk.
400029,100127,2023-08-30,Voluntary,Poor Culture Fit,True,2.0,Employee felt the culture did not match expectations.
400030,100140,2023-11-25,Voluntary,Relocation,True,1.0,Employee moved to another city or country.
400031,100151,2026-04-02,Voluntary,Career Growth,True,5.0,Employee reported limited advancement opportunities.
400032,100152,2025-05-01,Voluntary,Workload,True,4.0,Employee described workload pressure and burnout risk.
400033,100154,2023-12-10,Voluntary,Manager Relationship,True,3.0,Employee mentioned lack of manager support and communication.
400034,100156,2024-05-05,Voluntary,Career Growth,True,3.0,Employee reported limited advancement opportunities.
400035,100157,2018-01-19,Voluntary,Better Compensation,True,1.0,Employee cited stronger pay package from another employer.
400036,100162,2026-04-13,Voluntary,Manager Relationship,True,2.0,Employee mentioned lack of manager support and communication.
400037,100174,2017-07-16,Voluntary,Career Growth,True,5.0,Employee reported limited advancement opportunities.
400038,100186,2026-04-06,Voluntary,Better Compensation,True,,Employee cited stronger pay package from another employer.
400039,100190,2025-07-10,Voluntary,Personal Reasons,True,3.0,Employee left for personal or family reasons.
400040,100201,2025-04-11,Voluntary,Personal Reasons,True,2.0,Employee left for personal or family reasons.
400041,100203,2025-11-04,Voluntary,Workload,True,1.0,Employee described workload pressure and burnout risk.
400042,100205,2025-07-19,Voluntary,Workload,True,1.0,Employee described workload pressure and burnout risk.
400043,100209,2019-07-31,Involuntary,Performance Termination,False,1.0,Employment ended due to sustained performance issues.
400044,100213,2021-10-29,Voluntary,Career Growth,True,3.0,Employee reported limited advancement opportunities.
400045,100215,2022-06-17,Voluntary,Manager Relationship,True,1.0,Employee mentioned lack of manager support and communication.
400046,100220,2025-08-15,Voluntary,Workload,True,3.0,Employee described workload pressure and burnout risk.
400047,100223,2024-12-25,Voluntary,Poor Culture Fit,True,1.0,Employee felt the culture did not match expectations.
400048,100228,2025-10-19,Involuntary,Performance Termination,False,4.0,Employment ended due to sustained performance issues.
400049,100232,2024-07-04,Voluntary,Workload,True,3.0,Employee described workload pressure and burnout risk.
