exit_id,employee_id,exit_date,exit_type,exit_reason,rehire_eligible,exit_interview_score,comments
400001,100005,2024/08/07,voluntary,Poor culture fit,1,5,Employee felt the culture did not match expectations.
400002,100007,2025-02-27,Involuntary,Performance termination,No,1,Employment ended due to sustained performance issues.
400003,100015,2024-03-24,VOLUNTARY,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400004,100018,2021-09-10,Voluntary,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400005,100019,2025/06/17,VOLUNTARY,Manager relationship,Yes,4,Employee mentioned lack of manager support and communication.
400006,100020,2026-04-14,VOLUNTARY,Career growth,Yes,2,Employee reported limited advancement opportunities.
400007,100021,2025-12-27,voluntary,Relocation,Yes,1,Employee moved to another city or country.
400008,100025,2023-02-10,voluntary,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400009,100034,2021-09-19,voluntary,Personal reasons,1,3,Employee left for personal or family reasons.
400010,100039,2020-04-16,Voluntary,Personal reasons,Yes,1,Employee left for personal or family reasons.
400011,100043,2019-07-24,VOLUNTARY,Manager relationship,Yes,4,Employee mentioned lack of manager support and communication.
400012,100054,"Aug 09, 2024",voluntary,BETTER COMPENSATION,TRUE,2,Employee cited stronger pay package from another employer.
400013,100055,2024-01-15,involuntary,Performance termination,No,2,Employment ended due to sustained performance issues.
400014,100059,03-04-2026,VOLUNTARY,Better compensation,Yes,4,Employee cited stronger pay package from another employer.
400015,100062,2022-12-18,VOLUNTARY,Poor culture fit,TRUE,3,Employee felt the culture did not match expectations.
400016,100066,15-05-2018,voluntary,Career growth,TRUE,2,Employee reported limited advancement opportunities.
400017,100070,13-09-2025,Voluntary,Personal reasons,TRUE,3,Employee left for personal or family reasons.
400018,100072,2024-02-12,VOLUNTARY,Better compensation,Yes,1,Employee cited stronger pay package from another employer.
400019,100074,2019-10-06,voluntary,Career growth,Yes,5,Employee reported limited advancement opportunities.
400020,100083,2019-01-31,voluntary,Workload,Yes,1,Employee described workload pressure and burnout risk.
400021,100092,2026-03-17,voluntary,Personal reasons,TRUE,4,Employee left for personal or family reasons.
400022,100094,2023-04-01,voluntary,Personal reasons,Yes,5,Employee left for personal or family reasons.
400023,100104,2023-04-23,Voluntary,Better compensation,TRUE,4,Employee cited stronger pay package from another employer.
400024,100107,2026-02-11,Voluntary,Poor culture fit,Yes,3,Employee felt the culture did not match expectations.
400025,100110,2023-03-18,Voluntary,Personal reasons,1,2,Employee left for personal or family reasons.
400026,100113,2026-02-06,VOLUNTARY,Better compensation,1,1,Employee cited stronger pay package from another employer.
400027,100117,2026-01-28,VOLUNTARY,Manager relationship,Yes,1,Employee mentioned lack of manager support and communication.
400028,100118,2025-08-26,voluntary,Workload,Yes,0,Employee described workload pressure and burnout risk.
400029,100127,2023-08-30,Voluntary,Poor culture fit,1,2,Employee felt the culture did not match expectations.
400030,100140,2023-11-25,Voluntary,Relocation,1,1,Employee moved to another city or country.
400031,100151,2026-04-02,voluntary,Career growth,TRUE,5,Employee reported limited advancement opportunities.
400032,100152,2025-05-01,voluntary,Workload,Yes,4,Employee described workload pressure and burnout risk.
400033,100154,2023/12/10,voluntary,Manager relationship,TRUE,3,Employee mentioned lack of manager support and communication.
400034,100156,2024-05-05,voluntary,Career growth,TRUE,3,Employee reported limited advancement opportunities.
400035,100157,2018-01-19,voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
400036,100162,"Apr 13, 2026",Voluntary,Manager relationship,Yes,2,Employee mentioned lack of manager support and communication.
400037,100174,2017-07-16,Voluntary,Career growth,1,5,Employee reported limited advancement opportunities.
400038,100186,2026-04-06,Voluntary,Better compensation,1,0,Employee cited stronger pay package from another employer.
400039,100190,2025-07-10,voluntary,Personal reasons,1,3,Employee left for personal or family reasons.
400040,100201,04/11/2025,voluntary,Personal reasons,Yes,2,Employee left for personal or family reasons.
400041,100203,2025-11-04,Voluntary,Workload,TRUE,1,Employee described workload pressure and burnout risk.
400042,100205,2025-07-19,VOLUNTARY,Workload,TRUE,1,Employee described workload pressure and burnout risk.
400043,100209,31-07-2019,Involuntary,Performance termination,No,1,Employment ended due to sustained performance issues.
400044,100213,2021-10-29,VOLUNTARY,CAREER GROWTH,Yes,3,Employee reported limited advancement opportunities.
400045,100215,2022-06-17,voluntary,Manager relationship,TRUE,1,Employee mentioned lack of manager support and communication.
400046,100220,2025-08-15,Voluntary,workload,TRUE,3,Employee described workload pressure and burnout risk.
400047,100223,2024-12-25,voluntary,Poor culture fit,TRUE,1,Employee felt the culture did not match expectations.
400048,100228,2025-10-19,INVOLUNTARY,Performance termination,0,4,Employment ended due to sustained performance issues.
400049,100232,2024-07-04,voluntary,Workload,TRUE,3,Employee described workload pressure and burnout risk.
400050,100237,2024-03-19,Voluntary,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400051,100244,03/04/2026,Voluntary,personal reasons,1,2,Employee left for personal or family reasons.
400052,100249,2023-02-19,voluntary,Workload,Yes,4,Employee described workload pressure and burnout risk.
400053,100250,06-06-2015,Voluntary,Career growth,1,3,Employee reported limited advancement opportunities.
400054,100253,2023-09-20,VOLUNTARY,Workload,Yes,6,Employee described workload pressure and burnout risk.
400055,100255,2025-08-15,VOLUNTARY,Poor culture fit,1,6,Employee felt the culture did not match expectations.
400056,100257,2025-09-20,voluntary,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400057,100259,2026-04-01,Voluntary,workload,1,4,Employee described workload pressure and burnout risk.
400058,100263,10/01/2023,VOLUNTARY,manager relationship,Yes,3,Employee mentioned lack of manager support and communication.
400059,100265,2025-08-25,VOLUNTARY,Manager relationship,Yes,1,Employee mentioned lack of manager support and communication.
400060,100273,2023-05-05,Voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400061,100276,11-01-2026,VOLUNTARY,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400062,100278,2023-01-18,voluntary,Career growth,Yes,3,Employee reported limited advancement opportunities.
400063,100283,2026-03-05,VOLUNTARY,Better compensation,1,1,Employee cited stronger pay package from another employer.
400064,100288,2023-06-30,VOLUNTARY,Workload,1,3,Employee described workload pressure and burnout risk.
400065,100300,2024-02-18,VOLUNTARY,better compensation,TRUE,4,Employee cited stronger pay package from another employer.
400066,100303,2023-10-05,Voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
400067,100306,12/30/2020,voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400068,100308,2024-08-04,voluntary,Career growth,TRUE,,Employee reported limited advancement opportunities.
400069,100310,13-05-2022,Involuntary,Performance termination,No,5,Employment ended due to sustained performance issues.
400070,100313,"Oct 23, 2025",VOLUNTARY,Workload,TRUE,3,Employee described workload pressure and burnout risk.
400071,100321,2024-08-25,Voluntary,Career growth,1,2,Employee reported limited advancement opportunities.
400072,100322,1900-01-01,Voluntary,Career growth,Yes,3,Employee reported limited advancement opportunities.
400073,100324,2025-06-29,Involuntary,Performance termination,0,2,Employment ended due to sustained performance issues.
400074,100330,2023-10-11,VOLUNTARY,Better compensation,TRUE,0,Employee cited stronger pay package from another employer.
400075,100335,2025/05/12,VOLUNTARY,Better compensation,TRUE,2,Employee cited stronger pay package from another employer.
400076,100339,2020-11-17,VOLUNTARY,Personal reasons,Yes,5,Employee left for personal or family reasons.
400077,100342,2021-07-28,VOLUNTARY,Workload,1,4,Employee described workload pressure and burnout risk.
400078,100346,11/15/2022,VOLUNTARY,Workload,TRUE,3,Employee described workload pressure and burnout risk.
400079,100351,2018-03-26,VOLUNTARY,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400080,100353,2024-04-01,voluntary,Poor culture fit,1,5,Employee felt the culture did not match expectations.
400081,100355,2023-11-11,voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
400082,100358,2020-12-22,voluntary,Career growth,1,2,Employee reported limited advancement opportunities.
400083,100360,2025-07-13,Voluntary,Poor culture fit,1,,Employee felt the culture did not match expectations.
400084,100361,2025-08-09,Involuntary,performance termination,FALSE,4,Employment ended due to sustained performance issues.
400085,100370,2026-03-02,VOLUNTARY,Personal reasons,Yes,3,Employee left for personal or family reasons.
400086,100380,2025-05-18,VOLUNTARY,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400087,100399,2023-05-24,Voluntary,Career growth,1,2,Employee reported limited advancement opportunities.
400088,100407,2025-03-04,VOLUNTARY,Better compensation,Yes,1,Employee cited stronger pay package from another employer.
400089,100410,2024-02-22,Voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
400090,100411,2023-07-01,VOLUNTARY,Personal reasons,1,3,Employee left for personal or family reasons.
400091,100417,2025-10-20,Voluntary,Better compensation,TRUE,3,Employee cited stronger pay package from another employer.
400092,100424,01-06-2021,Voluntary,PERSONAL REASONS,1,5,Employee left for personal or family reasons.
